;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02
10;10.0;JANGAN LUPA SEMANGAT DAN BAHAGIA HARI INI;jangan lupa semangat dan bahagia hari ini;['jangan', 'lupa', 'semangat', 'dan', 'bahagia', 'hari', 'ini'];['jangan', 'lupa', 'semangat', 'dan', 'bahagia', 'hari', 'ini'];jangan lupa semangat dan bahagia hari ini
11;11.0;"WWKKWKWKWK terrandom emg @ntsana_ 
""Terima kasih bunda maya"" 😂😭 https://t.co/bbf4oCGcDA";wwkkwkwkwk terrandom emg ntsana_ terima kasih bunda maya cobbfocgcda;['wwkkwkwkwk', 'terrandom', 'emg', 'ntsana_', 'terima', 'kasih', 'bunda', 'maya', 'cobbfocgcda'];['wwkkwkwkwk', 'terrandom', 'emg', 'ntsana_', 'terima', 'kasih', 'bunda', 'maya', 'cobbfocgcda'];wwkkwkwkwk terrandom emg ntsana_ terima kasih bunda maya cobbfocgcda
12;12.0;"Ada ayam goreng, ayam bakar, ayam penyet. Tapi yang paling aku suka sih ay am falling in love with you

acikiwir";ada ayam goreng ayam bakar ayam penyet tapi yang paling aku suka sih ay am falling in love with you acikiwir;['ada', 'ayam', 'goreng', 'ayam', 'bakar', 'ayam', 'penyet', 'tapi', 'yang', 'paling', 'aku', 'suka', 'sih', 'ay', 'am', 'falling', 'in', 'love', 'with', 'you', 'acikiwir'];['ada', 'ayam', 'goreng', 'ayam', 'bakar', 'ayam', 'penyet', 'tapi', 'yang', 'paling', 'aku', 'suka', 'sih', 'ay', 'am', 'falling', 'in', 'love', 'with', 'you', 'acikiwir'];ada ayam goreng ayam bakar ayam penyet tapi yang paling aku suka sih ay am falling in love with you acikiwir
13;13.0;@shrlaa_a wuiii makasiiiii;shrlaa_a wuiii makasiiiii;['shrlaa_a', 'wuiii', 'makasiiiii'];['shrlaa_a', 'wuiii', 'makasiiiii'];shrlaa_a wuiii makasiiiii
14;14.0;@adnitae NGAKAK WKKWKWKW;adnitae ngakak wkkwkwkw;['adnitae', 'ngakak', 'wkkwkwkw'];['adnitae', 'ngakak', 'wkkwkwkw'];adnitae ngakak wkkwkwkw
15;15.0;Sudah tau banyak tugas dan kerjaan tapi masih aja santai dan rebahan. Sadar yok sadar;sudah tau banyak tugas dan kerjaan tapi masih aja santai dan rebahan sadar yok sadar;['sudah', 'tau', 'banyak', 'tugas', 'dan', 'kerjaan', 'tapi', 'masih', 'aja', 'santai', 'dan', 'rebahan', 'sadar', 'yok', 'sadar'];['sudah', 'tau', 'banyak', 'tugas', 'dan', 'kerjaan', 'tapi', 'masih', 'aja', 'santai', 'dan', 'rebahan', 'sadar', 'yok', 'sadar'];sudah tau banyak tugas dan kerjaan tapi masih aja santai dan rebahan sadar yok sadar
16;16.0;Akhirnya bisa kumpul lengkap sekeluarga🤗. Happy Sunday!! https://t.co/x8mGEwGxEn;akhirnya bisa kumpul lengkap sekeluarga happy sunday co;['akhirnya', 'bisa', 'kumpul', 'lengkap', 'sekeluarga', 'happy', 'sunday', 'co'];['akhirnya', 'bisa', 'kumpul', 'lengkap', 'sekeluarga', 'happy', 'sunday', 'co'];akhirnya bisa kumpul lengkap sekeluarga happy sunday co
17;17.0;Begitu syulit lupakan mtk apalagi mtk asyik;begitu syulit lupakan mtk apalagi mtk asyik;['begitu', 'syulit', 'lupakan', 'mtk', 'apalagi', 'mtk', 'asyik'];['begitu', 'syulit', 'lupakan', 'mtk', 'apalagi', 'mtk', 'asyik'];begitu syulit lupakan mtk apalagi mtk asyik
18;18.0;RT @tokomenantea: Beli Menantea yang no sugar, karena manisnya udah dari kamu🥰 https://t.co/7SCNDFj7sQ;tokomenantea beli menantea yang no sugar karena manisnya udah dari kamu coscndfjsq;['tokomenantea', 'beli', 'menantea', 'yang', 'no', 'sugar', 'karena', 'manisnya', 'udah', 'dari', 'kamu', 'coscndfjsq'];['tokomenantea', 'beli', 'menantea', 'yang', 'no', 'sugar', 'karena', 'manisnya', 'udah', 'dari', 'kamu', 'coscndfjsq'];tokomenantea beli menantea yang no sugar karena manisnya udah dari kamu coscndfjsq
19;19.0;@cursedkidd ngomong apa sih;cursedkidd ngomong apa sih;['cursedkidd', 'ngomong', 'apa', 'sih'];['cursedkidd', 'ngomong', 'apa', 'sih'];cursedkidd ngomong apa sih
20;20.0;"Ide ngedate:

Kerjain soal matematika bareng.";ide ngedate kerjain soal matematika bareng;['ide', 'ngedate', 'kerjain', 'soal', 'matematika', 'bareng'];['ide', 'ngedate', 'kerjain', 'soal', 'matematika', 'bareng'];ide ngedate kerjain soal matematika bareng
21;21.0;Urusan diri sendiri masih banyak, gak usah terlalu sibuk ngurusin urusan orang lain;urusan diri sendiri masih banyak gak usah terlalu sibuk ngurusin urusan orang lain;['urusan', 'diri', 'sendiri', 'masih', 'banyak', 'gak', 'usah', 'terlalu', 'sibuk', 'ngurusin', 'urusan', 'orang', 'lain'];['urusan', 'diri', 'sendiri', 'masih', 'banyak', 'gak', 'usah', 'terlalu', 'sibuk', 'ngurusin', 'urusan', 'orang', 'lain'];urusan diri sendiri masih banyak gak usah terlalu sibuk ngurusin urusan orang lain
